ComplexID,PondID,SiteID,Year,Survey Number,Site Name,Date,WaterTemp.Site,Air Temp,Conductivity,Weather,CatchOfDay,Time,SampleID,Species,SVL(TL),A/T,WaterTemp.Nearest,Symptoms,Mortality,RanaLoad,BDLoad,,Notes
05,01,05-01,2022,03,St.Albans-01,8/5/2022,23.6,22.5,153.4,"overcast, chance of rain",02,9:18,05-01-03-02,GF,4.8,T,24.1,None,dead,,,,
05,02,05-02,2022,01,St.Albans 02,6/7/2022,23.2,27.7,,"Cloudy, heavy wind",01,12:49,05-02-01-01,GF,6.4,T,24.4,,,,,,
05,02,05-02,2022,01,St.Albans 02,6/7/2022,23.2,27.7,,"Cloudy, heavy wind",02,2:46,05-02-01-02,GF,4.9,A,26.3,,,,,,
05,02,05-02,2022,01,St.Albans 02,6/7/2022,23.2,27.7,,"Cloudy, heavy wind",03,2:53,05-02-01-03,GF,5.4,A,25.7,,,,,,
05,02,05-02,2022,01,St.Albans 02,6/7/2022,23.2,27.7,,"Cloudy, heavy wind",04,3:01,05-02-01-04,GF,5.9,A,23.2,,,,,,
05,02,05-02,2022,01,St.Albans 02,6/7/2022,23.2,27.7,,"Cloudy, heavy wind",05,4:02,05-02-01-05,GF,5.1,A,24.5,,,,,,
05,02,05-02,2022,02,St.Albans-02,7/14/2022,24.4,21.5,210,partly cloudy,01,1:21,05-02-02-01,GF,8.2,T,23.9,,,,,,
05,02,05-02,2022,02,St.Albans-02,7/14/2022,24.4.,21.5,210,partly cloudy,02,1:24,05-02-02-02,GF,4.3,T,23.9,,,,,,
05,02,05-02,2022,02,St.Albans-02,7/14/2022,24.5,21.5,210,partly cloudy,03,1:26,05-02-02-03,GF,3.3,T,24.3,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",01,12:34,05-02-03-01,AB,3.7,A,26.2,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",02,12:55,05-02-03-02,AB,4.4,A,27.5,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",03,1:07,05-02-03-03,AB,3.6,A,24.7,Lethargic,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",04,1:19,05-02-03-04,AB,4.1,T,27.9,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",05,1:22,05-02-03-05,AB,3.9,A,27.7,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",06,1:23,05-02-03-06,AB,4.5,A,27.9,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",07,1:28,05-02-03-07,AB,4.0,T,27.9,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",08,1:35,05-02-03-08,AB,4.6,A,29.1,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",09,1:41,05-02-03-09,PF,2.5,T,29.2,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",10,1:48,05-02-03-10,AB,4.3,T,26.3,,,,,,
05,02,05-02,2022,03,St.Albans-02,8/5/2022,22.8,22.5,625,"overcast,very foggy",11,1:54,05-02-03-11,PF,2.8,T,27.3,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,01,10:30,06-01-01-01,RSN,4.0,A,11.0,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,02,10:35,06-01-01-02,PF,3.3,T,25.0,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,03,,06-01-01-03,PF,4.1,A,24.9,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,04,11:20,06-01-01-04,RSN,3.2,A,24.9,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,05,11:20,06-01-01-05,RSN,3.9,A,16.5,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,06,12:24,06-01-01-06,PF,2.9,A,16.5,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,07,12:24,06-01-01-07,RSN,3.3,A,14.5,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,08,12:32,06-01-01-08,PF,5.3,T,,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,09,,06-01-01-09,RSN,3.7,A,,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,10,2:04,06-01-01-10,GF,3.3,A,14.2,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,11,2:04,06-01-01-11,RSN,3.1,A,15.0,,,,,,
06,01,06-01,2022,01,MiltonPond,5/25/2022,17.4,19.4,,Clear + sunny,12,2:21,06-01-01-12,RSN,3.6,A,17.9,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,01,8:52,06-01-02-01,GF,6.2,T,21.1,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,02,8:59,06-01-02-02,RSN,3.5,A,23.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,03,9:21,06-01-02-03,GF,3.9,T,19.2,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,04,9:29,06-01-02-04,GF,3.3,T,19.3,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,05,9:50,06-01-02-05,GF,6.3,A,24.1,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,06,9:53,06-01-02-06,GF,3.0,A,18.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,07,10:00,06-01-02-07,GF,4.4,T,16.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,08,10:10,06-01-02-08,GF,3.5,A,17.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,09,10:14,06-01-02-09,GF,2.9,A,17.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,10,10:23,06-01-02-10,GF,5.1,A,19.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,11,10:32,06-01-02-11,GF,3.0,A,21.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,12,10:36,06-01-02-12,GF,2.7,A,18.5,,,,,,
06,01,06-01,2022,02,MiltonPond,7/5/2022,22.2,20.5,46.3,Overcast,13,10:39,06-01-02-13,GF,3.2,A,18.1,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,01,12:45,06-01-03-01,GF,4.0,A,28.2,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,02,12:58,06-01-03-02,GF,6.3,T,29.6,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,03,1:02,06-01-03-03,GF,3.6,A,29.2,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,04,1:13,06-01-03-04,GF,3.7,T,30.2,,,,,,reddish legs
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,05,1:31,06-01-03-05,GF,3.2,A,27.3,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,06,1:39,06-01-03-06,GF,3.9,T,31.5,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,07,1:43,06-01-03-07,GF,2.8,A,33.9,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,08,1:51,06-01-03-08,GF,4.0,T,28.5,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,09,1:53,06-01-03-09,GF,2.8,A,30.1,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,10,1:55,06-01-03-10,GF,3.8,T,29.6,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,11,2:00,06-01-03-11,GF,6.9,A,29.7,,,,,,
06,01,06-01,2022,03,MiltonPond,7/29/2022,29.5,28.9,51.7,sunny,12,2:04,06-01-03-12,GF,4.1,T,32.8,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,01,11:28,06-02-01-01,GF,5.4,A,17.2,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,02,11:28,06-02-01-02,GF,5.6,A,17.2,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,03,11:56,06-02-01-03,GF,5.2,A,20.0,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,04,12:18,06-02-01-04,GF,6.8,A,20.3,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,05,,06-02-01-05,GF,,,,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,06,12:26,06-02-01-06,GF,5.2,A,20.8,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,07,12:39,06-02-01-07,GF,5.9,A,2.1,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,08,12:47,06-02-01-08,GF,,A,23.2,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,09,1:37,06-02-01-09,GF,4.2,A,22.3,,,,,,
06,02,06-02,2022,01,MiltonMarsh,5/26/2022,18.1,18.9,,Cloudy + windy,10,1:48,06-02-01-10,GF,4.8,A,22.5,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,01,12:43,06-02-02-01,GF,6.5,A,20.1,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,02,1:11,06-02-02-02,GF,5.5,A,20.3,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,03,1:21,06-02-02-03,GF,5.7,A,21.3,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,04,1:28,06-02-02-04,GF,5.8,A,21.8,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,05,1:31,06-02-02-05,GF,5.9,A,21.8,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,06,1:40,06-02-02-06,GF,3.1,A,21.4,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,07,1:45,06-02-02-07,GF,6.2,T,22.3,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,08,1:52,06-02-02-08,RSN,3.8,A,21.7,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,09,1:56,06-02-02-09,RSN,3.4,A,21.4,,,,,,
06,02,06-02,2022,02,MiltonMarsh,7/5/2022,20.7,18.8,190.3,Cloudy,10,1:59,06-02-02-10,GF,5.9,A,21.4,,,,,,
